trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.55, 'e': 0.9786000000000024}",25,0,-76.36490221661727,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
108,False,"{'a': 0.55, 'e': 0.9784000000000024}",30,0,-145.16709104120096,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
109,False,"{'a': 0.55, 'e': 0.9782000000000024}",25,0,-130.27589317282698,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
110,False,"{'a': 0.55, 'e': 0.9780000000000024}",30,0,-201.45316973868424,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
111,False,"{'a': 0.55, 'e': 0.9778000000000024}",25,0,-169.26920010160896,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
112,False,"{'a': 0.55, 'e': 0.9776000000000025}",20,0,-152.20932324752744,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
113,False,"{'a': 0.55, 'e': 0.9774000000000025}",20,0,-106.0683859814017,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
114,False,"{'a': 0.55, 'e': 0.9772000000000025}",30,0,-119.91929762353436,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
115,False,"{'a': 0.55, 'e': 0.9770000000000025}",30,0,-236.0365807421838,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
116,False,"{'a': 0.55, 'e': 0.9768000000000026}",25,0,-67.87870481332583,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.55, 'e': 0.9766000000000026}",20,3,-91.70630346868191,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
118,False,"{'a': 0.55, 'e': 0.9764000000000026}",20,0,-128.97937647696173,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
119,False,"{'a': 0.55, 'e': 0.9762000000000026}",25,0,-14.01955378128216,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
120,False,"{'a': 0.55, 'e': 0.9760000000000026}",30,0,-124.01179108516443,"{0: 18, 1: 6, 2: 2, 3: 3, 4: 1}",0
121,False,"{'a': 0.55, 'e': 0.9758000000000027}",20,0,-138.50615906328446,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
122,False,"{'a': 0.55, 'e': 0.9756000000000027}",25,0,-194.10616991606759,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
123,False,"{'a': 0.55, 'e': 0.9754000000000027}",25,0,-140.5551751339653,"{0: 11, 1: 4, 2: 7, 3: 3, 4: 0}",0
124,False,"{'a': 0.55, 'e': 0.9752000000000027}",25,0,-72.45810980931432,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.55, 'e': 0.9750000000000028}",30,0,-206.42652614394012,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
126,False,"{'a': 0.55, 'e': 0.9748000000000028}",20,0,-44.10642813547485,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
127,False,"{'a': 0.55, 'e': 0.9746000000000028}",20,0,-141.41149358542475,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.55, 'e': 0.9744000000000028}",25,0,-84.00705718279207,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
129,False,"{'a': 0.55, 'e': 0.9742000000000028}",20,0,-165.55707744373657,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
130,False,"{'a': 0.55, 'e': 0.9740000000000029}",25,0,-115.73234899938308,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
131,False,"{'a': 0.55, 'e': 0.9738000000000029}",20,0,-79.91042847382656,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
132,False,"{'a': 0.55, 'e': 0.9736000000000029}",25,0,-88.31732759275616,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
133,False,"{'a': 0.55, 'e': 0.9734000000000029}",25,0,-134.87613609360747,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
134,False,"{'a': 0.55, 'e': 0.973200000000003}",20,0,-223.33612609119697,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
135,False,"{'a': 0.55, 'e': 0.973000000000003}",20,0,-73.339621928674,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.55, 'e': 0.972800000000003}",25,0,-174.2351739767979,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
137,False,"{'a': 0.55, 'e': 0.972600000000003}",20,0,-109.20443864400951,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
138,False,"{'a': 0.55, 'e': 0.972400000000003}",20,0,-35.63552373256689,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.55, 'e': 0.9722000000000031}",20,0,-58.953686561936934,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.55, 'e': 0.9720000000000031}",25,0,-69.7056548167738,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.55, 'e': 0.9718000000000031}",20,15,-2.8729890746202704,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.55, 'e': 0.9716000000000031}",20,0,-131.29537599577145,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
143,False,"{'a': 0.55, 'e': 0.9714000000000031}",20,0,-186.15398814193736,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
144,False,"{'a': 0.55, 'e': 0.9712000000000032}",20,0,-109.44322176296333,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
145,False,"{'a': 0.55, 'e': 0.9710000000000032}",20,0,-115.94513302972075,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
146,False,"{'a': 0.55, 'e': 0.9708000000000032}",25,0,-168.3281435330238,"{0: 11, 1: 0, 2: 10, 3: 4, 4: 0}",0
147,False,"{'a': 0.55, 'e': 0.9706000000000032}",20,0,-40.985537369669714,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
148,False,"{'a': 0.55, 'e': 0.9704000000000033}",20,0,-141.8589883566998,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
